car,task,submit_time,deadline_time,response_time,processing_time,service_response_time,uplink_time,downlink_time,sinr_ul,sinr_dl,cqi_ul,cqi_dl,distance,request_queue_size,harq_error_rate_ul,harq_tx_attempts_ul,rlc_packet_loss_ul,rlc_throughput_ul,task_success
2,27,96.5,96.85,0.095,0.000470457585,0.005922957993,0.0840031125,0.004603471922,47.033811184162,63.020185717618,15.0,15.0,84.179283296055,,0.0,1.0,0.0,17663.484956834,1.0
2,28,99.589,99.939,0.089,0.00051783189,3.8334892e-05,0.08400311255,0.004440720668,45.626455535895,63.556903420165,15.0,15.0,108.78630188331,,0.0,1.0,0.0,17725.749116324,1.0
2,29,102.699,103.04899999999999,0.11,0.0004721868125,0.001844044677,0.10300311255,0.00468065596,30.111278403454,42.667287544865,14.0,15.0,135.10022592804,,0.0,1.0,0.0,17782.008335606,1.0
2,30,105.792,106.142,0.093,0.0004711734,0.001633170724,0.0860031126,0.004892543276,34.393802489841,43.959902693266,14.0,15.0,161.39682142889,,0.0,1.0,0.0,17837.491137685,1.0
2,31,108.892,109.24199999999999,0.1,0.0005255726,0.009070446563,0.0860053934,0.004398587437,35.929496463269,55.279922989562,14.0,15.0,187.73662065267,,0.0,1.0,0.0,17889.821635225,1.0
2,32,111.988,112.338,0.096,0.000480544785,0.002701563243,0.08800311265,0.004814779322,33.563212012893,42.387600876468,14.0,15.0,213.29776649024,,0.0,1.0,0.0,17937.819253438,1.0
2,33,115.082,115.43199999999999,0.094,0.00058786332,0.000819610272,0.0880031127,0.004589413708,32.238140892231,45.668471952593,14.0,15.0,201.05570905158,,0.0,1.0,0.0,17984.166985297,1.0
2,34,118.187,118.53699999999999,0.105,0.00060420602,0.015053570587,0.0850031127,0.004339110693,39.263628045589,47.980726688349,15.0,15.0,174.71769239749,,0.0,1.0,0.0,18028.849001836,1.0
2,35,121.284,121.634,0.097,0.0005690950375,0.004789018547,0.08700311275,0.004638773665,33.143047484006,58.14089633241,14.0,15.0,148.43376849312,,0.0,1.0,0.0,18068.868842456,1.0
2,36,124.375,124.725,0.091,0.0006191012925,0.001790196763,0.08400311275,0.004587589194,46.965302384866,62.397827884123,15.0,15.0,122.20885000054,,0.0,1.0,0.0,18108.782001801,1.0
3,0,10.148,10.498,0.428,4.974005e-05,0.000548435172,0.4230031117,0.004398713078,13.762892946664,31.527247959812,8.0,14.0,656.86922013644,,0.0,1.0,0.0,6001.0844917677,0.0
3,1,13.805,14.155,0.657,4.6777545e-05,0.002020572893,0.6500031117,0.004929537862,6.9859671685296,20.043758779356,5.0,11.0,638.91020148084,,0.0,1.0,0.0,8822.8728801276,0.0
3,2,17.163,17.513,0.358,7.97347875e-05,0.010966785338,0.34200311175,0.004950368124,8.5257747526505,33.971341579524,5.0,14.0,642.41750829802,,0.0,1.0,0.0,10649.501370502,0.0
3,3,20.451,20.801000000000002,0.288,9.83405e-05,0.002344015558,0.2810031118,0.004554532142,9.3441872124237,30.423001641689,6.0,14.0,638.43811929436,,0.0,1.0,0.0,11909.411074154,1.0
3,4,23.769,24.119,0.318,0.0001136226,0.00225338305,0.30500311185,0.0106298825,19.546461609399,21.032133991144,11.0,11.0,596.35854431388,,0.0,1.0,0.0,12811.289779424,1.0
3,5,27.15,27.5,0.381,0.00012589165,0.004714816135,0.37200311185,0.004156180365,13.783735820208,42.038588346759,8.0,15.0,548.86635521425,,0.0,1.0,0.0,13456.173317122,0.0
3,6,30.367,30.717000000000002,0.217,0.00013540413,0.008419614489,0.2040031119,0.004441869481,14.637443913041,33.188726058542,8.0,14.0,506.62133962198,,0.0,1.0,0.0,14037.128549779,1.0
3,7,33.548,33.898,0.181,0.0001714235075,0.001516360873,0.17500311195,0.004309103669,13.791762830023,35.822063344073,8.0,15.0,485.66564839512,,0.0,1.0,0.0,14517.67932741,1.0
3,8,36.696,37.046,0.148,0.000183292095,0.004322727735,0.13900311195,0.00449086822,27.294094445095,24.966965442574,13.0,13.0,475.49583096196,,0.0,1.0,0.0,14932.292092567,1.0
3,9,39.877,40.227000000000004,0.181,0.00019878308,0.000404469355,0.176003112,0.004393635565,18.573939819548,34.566729852052,10.0,14.0,468.29971990307,,0.0,1.0,0.0,15266.10152488,1.0
3,10,43.271,43.621,0.394,0.00018136632,0.001420594191,0.388003112,0.004394927489,16.203949078855,30.386134505645,9.0,14.0,469.2019439067,,0.0,1.0,0.0,15475.765630417,0.0
3,11,46.759,47.109,0.488,0.0002193830775,0.003049551237,0.48000311205,0.004727953636,11.453609128151,33.055689839476,6.0,14.0,485.76533675001,,0.0,1.0,0.0,15623.794143441,0.0
3,12,50.436,50.786,0.677,0.0002500334,0.008586621558,0.6640031121,0.004160232942,11.517702738633,33.57176512972,6.0,14.0,510.37646288711,,0.0,1.0,0.0,15693.175733296,0.0
3,13,53.783,54.133,0.347,0.000262632575,0.00170941093,0.3410031121,0.004024844395,15.581641948854,30.19824094963,9.0,14.0,480.50683772665,,0.0,1.0,0.0,15846.291165368,1.0
3,14,56.969,57.319,0.186,0.000261181635,0.008526038402,0.17300311215,0.004209667813,21.103355367561,37.270446818856,11.0,15.0,445.79573329178,,0.0,1.0,0.0,16030.532340754,1.0
